1,1,1번줄 못읽는 현상 방지,,,
10,10.1,동해물과 백두산이 마르고 닳도록,,,
10,10.2,하느님이 보우하사 우리나라 만세,,,
10,10.3,무궁화 삼천리 화려 강산,,,
10,10.4,대한 사람 대한으로 길이 보전하세,,,
10,10.5,퀘스트 수락 부분 TEST 입니다 1번을 누르면 수락 버튼 2 번을 누르면 거절 버튼이 눌립니다,1,11,12
11,11.1,수락했습니다.,,,
11,11.2,감사합니다.,,,
12,12.1,거절했습니다,,,
12,12.2,뿌엥 거절했어,,,
1000,1000.1,1000번 테스트 문장 1번입니다,,,
1000,1000.2,1000번 테스트 문장 2번입니다,,,
1000,1000.3,1000번 테스트 문장 3번입니다,,,
1000,1000.4,1000번 테스트 문장 4번입니다,,,
1000,1000.5,1000번 퀘스트 선택부분임 수락시 1001번 거절시 1002번,1,1001,1002
1001,1001.1,1001번 퀘스트 수락,,,
1001,1001.2,ㅇㅅㅇ,,,
1002,1002.1,1001번 퀘스트 수락 안해서 1002로 이동,,,
1002,1002.2,ㅠㅅㅠ,,,
20,20.1,높이 테스트 퀘스트 다이얼로그 1번,,,
20,20.2,높이 테스트 퀘스트 다이얼로그 2번,,,
20,20.3,높이 테스트 퀘스트 다이얼로그 3번,,,
20,20.4,높이 테스트 퀘스트 다이얼로그 4번,1,21,22
21,21.1,높이 테스트 수락,,,
21,21.2,감사링딩동,,,
22,22.1,거절했습니다.,,,
22,22.2,거절했다리,,,
30,30.1,높이 달성 퀘스트 다이얼로그 1번,,,
30,30.2,높이 달성 퀘스트 다이얼로그 2번,,,
30,30.3,수락?,1,31,32
31,31.1,수락함,,,
31,31.2,높이 달성 퀘스트 수락,,,
32,32.1,안함,,,
32,32.2,안해,,,
40,40.1,높이 유지 퀘스트 다이얼로그 1번,,,
40,40.2,높이 유지 퀘스트 다이얼로그 2번,1,41,42
41,41.1,수락,,,
42,42.1,거절,,,
50,50.1,특정 높이에 특정 블록 설치 퀘스트,1,51,52
51,51.1,수락함,,,
52,52.1,거절함,,,
60,60.1,입력제한,,,
60,60.2,하실?,1,61,62
61,61.1,함,,,
62,62.1,안함,,,
